,scopus_id
2150,2-s2.0-85165457692
2151,2-s2.0-85217215628
2152,2-s2.0-85196918123
2153,2-s2.0-85196917727
2154,2-s2.0-85196916064
2155,2-s2.0-85196913983
2156,2-s2.0-85193514968
2157,2-s2.0-85193490738
2158,2-s2.0-85193472401
2159,2-s2.0-85188012039
2160,2-s2.0-85187981685
2161,2-s2.0-85174847717
2162,2-s2.0-85167866924
2163,2-s2.0-85148727697
2164,2-s2.0-85129912913
2165,2-s2.0-85190681563
2166,2-s2.0-85190671186
2167,2-s2.0-85190667008
2168,2-s2.0-85190654058
2169,2-s2.0-85179876898
2170,2-s2.0-85175237948
2171,2-s2.0-85166422806
2172,2-s2.0-85154039256
2173,2-s2.0-85139119998
2174,2-s2.0-85139115435
2175,2-s2.0-85136129703
2176,2-s2.0-85120006550
2177,2-s2.0-85119973229
2178,2-s2.0-85112129260
2179,2-s2.0-85111212094
2180,2-s2.0-85120467391
2181,2-s2.0-85108070889
2182,2-s2.0-85107114687
2183,2-s2.0-85204663279
2184,2-s2.0-85172484032
2185,2-s2.0-85134287792
2186,2-s2.0-85130964775
2187,2-s2.0-85125876218
2188,2-s2.0-85125801353
2189,2-s2.0-85125206329
2190,2-s2.0-85125201867
2191,2-s2.0-85125199882
2192,2-s2.0-85125191008
2193,2-s2.0-85125188761
2194,2-s2.0-85125180678
2195,2-s2.0-85125168165
2196,2-s2.0-85124522630
2197,2-s2.0-85119440571
2198,2-s2.0-85110878526
2199,2-s2.0-85145012938
2200,2-s2.0-85124856087
2201,2-s2.0-85106146663
2202,2-s2.0-85100191386
2203,2-s2.0-85099770823
2204,2-s2.0-85099751704
2205,2-s2.0-85099733502
2206,2-s2.0-85098280920
2207,2-s2.0-85096605397
2208,2-s2.0-85096573754
2209,2-s2.0-85089055105
2210,2-s2.0-85084161149
2211,2-s2.0-85083573852
2212,2-s2.0-85079666209
2213,2-s2.0-85079617907
73,2-s2.0-85179584267
150,2-s2.0-85174810660
152,2-s2.0-85179179847
192,2-s2.0-85172772311
193,2-s2.0-85172167892
194,2-s2.0-85171467983
224,2-s2.0-85171997148
237,2-s2.0-85166573607
318,2-s2.0-85164296425
391,2-s2.0-85171634378
430,2-s2.0-85218752294
436,2-s2.0-85191432762
450,2-s2.0-85180317273
458,2-s2.0-85174977363
464,2-s2.0-85173136466
472,2-s2.0-85168571473
503,2-s2.0-85159764187
511,2-s2.0-85150446860
605,2-s2.0-85146858472
606,2-s2.0-85144767061
607,2-s2.0-85144748162
663,2-s2.0-85141938921
725,2-s2.0-85136565642
756,2-s2.0-85146279273
757,2-s2.0-85133595414
758,2-s2.0-85133379895
759,2-s2.0-85133224415
824,2-s2.0-85129973157
830,2-s2.0-85132961165
831,2-s2.0-85130189658
832,2-s2.0-85128814265
846,2-s2.0-85127895944
890,2-s2.0-85125474753
909,2-s2.0-85130185244
910,2-s2.0-85125193987
952,2-s2.0-85147848667
1051,2-s2.0-85122343728
1090,2-s2.0-85127055590
1154,2-s2.0-85116546177
1169,2-s2.0-85116554947
1204,2-s2.0-85116953205
1242,2-s2.0-85110373796
1279,2-s2.0-85113397724
1280,2-s2.0-85109572886
1306,2-s2.0-85118551539
1319,2-s2.0-85108107092
1346,2-s2.0-85105416868
1366,2-s2.0-85104439056
1477,2-s2.0-85146299910
1492,2-s2.0-85118882943
1500,2-s2.0-85111653035
1502,2-s2.0-85109131152
1547,2-s2.0-85098275969
1594,2-s2.0-85096387798
1603,2-s2.0-85102822719
1615,2-s2.0-85092919801
1621,2-s2.0-85096724437
1692,2-s2.0-85092422388
1693,2-s2.0-85094918021
1707,2-s2.0-85093964923
1726,2-s2.0-85087985372
1860,2-s2.0-85084749056
1960,2-s2.0-85082707123
1961,2-s2.0-85081695869
2042,2-s2.0-85173211886
